state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,deaths_covid,deaths_covid_coverage,start_date
PR,7/27/2020,1,1,0,4,8118,514,56,0.495072678,54,4019,8118,0.121858701,56,514,4218,0.060606061,54,492,8118,0,2,12/31/2019
PR,7/26/2020,0,0,0,2,7834,496,57,0.523232065,55,4099,7834,0.116843345,57,496,4245,0.06242022,55,489,7834,,0,12/31/2019
PR,7/24/2020,1,0,0,3,8298,453,56,0.572547602,57,4751,8298,0.096526742,56,453,4693,0.054975728,56,453,8240,0,1,12/31/2019
PR,7/23/2020,1,1,0,4,8332,448,56,0.566970715,56,4724,8332,0.094834886,56,448,4724,0.053768603,56,448,8332,0,2,12/31/2019
KS,7/22/2020,18,75,6,111,6860,363,119,0.617307411,112,4223,6841,0.072150411,114,307,4255,0.04442496,112,304,6843,2,92,12/31/2019
PR,7/22/2020,1,1,0,4,8080,419,55,0.568193069,55,4591,8080,0.091265519,55,419,4591,0.051856436,55,419,8080,0,2,12/31/2019
ND,7/21/2020,0,0,4,52,2568,46,4,0.604750779,52,1553,2568,0.077181208,4,46,596,0.055961071,4,46,822,0,50,12/31/2019
UT,7/21/2020,2,30,0,42,4790,256,47,0.523382046,44,2507,4790,0.08416434,44,211,2507,0.044050104,44,211,4790,3,39,12/31/2019
PR,7/20/2020,1,1,0,2,7964,487,57,0.536916123,57,4276,7964,0.113891487,57,487,4276,0.061150176,57,487,7964,0,2,12/31/2019
CT,7/19/2020,0,1,1,24,6791,179,30,0.726108084,25,4931,6791,0.029608599,25,146,4931,0.021499043,25,146,6791,0,22,12/31/2019
HI,7/18/2020,0,6,0,11,1541,52,16,0.751460091,11,1158,1541,0.034542314,11,40,1158,0.025957171,11,40,1541,0,10,12/31/2019
ND,7/18/2020,0,0,3,52,2292,33,4,0.589005236,52,1350,2292,0.083333333,4,33,396,0.06043956,4,33,546,0,49,12/31/2019
